         1848256 function calls (1762275 primitive calls) in 64.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    96044   55.371    0.001   55.371    0.001 {method 'acquire' of '_thread.lock' objects}
     6138    2.903    0.000    3.247    0.001 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particle_mover.py:54(solve_equations_of_motion)
157542/112530    1.167    0.000    1.843    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2046    0.841    0.000    3.324    0.002 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particles_to_grids.py:31(weigh_to_grid)
    18414    0.442    0.000    1.128    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particles_to_grids.py:89(weigh_current)
    12276    0.334    0.000    0.808    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particles_to_grids.py:75(weigh_old)
     6138    0.318    0.000    0.423    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particle_mover.py:32(get_args_interpolate)
     1023    0.287    0.000    0.350    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\output_list.py:31(update_xv_output)
     9207    0.259    0.000    0.259    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particle_generator.py:78(vx)
40920/20460    0.239    0.000    0.380    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\numeric.py:1147(roll)
     2046    0.215    0.000   60.032    0.029 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particle_mover.py:244(move_particles_em)
    12276    0.186    0.000    0.186    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particle_generator.py:56(nearest_grids)
    24010    0.116    0.000   55.589    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:288(wait)
    24555    0.109    0.000   55.740    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:604(wait)
     6138    0.099    0.000    0.148    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particle_generator.py:46(update_nearest_grid)
     6138    0.097    0.000    0.097    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\EM1D_PIC\particle_generator.py:67(nearest_grids_old)
        4    0.095    0.024    0.095    0.024 {built-in method _winapi.CreateProcess}
    24552    0.094    0.000    0.274    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\_methods.py:164(_mean)
    48585    0.091    0.000    0.091    0.000 {built-in method _thread.allocate_lock}
    24555    0.084    0.000    0.084    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:236(__init__)
